label,title,text
1,Great Chemistry Book,"A little hard in some places for your average youngster, but does a great job of giving an overview of chemistry."
0,Hi! I MAKE NO SENSE!!...,That's what this DVD with a SPECIAL EDITION of THE CURSE OF FENRIC should be called...CHEESY...OVERWRITTEN...BORING...and why is the sound so bad?ACE is the best thing about the SYLVESTOR MCCOY episodes...cuz he certainly isn't...just DREADFUL and so re-written that the character of DOCTOR WHO becomes CONTRIVED and conventional which was something it never was before. The SYLVESTOR MCCOY years took all the fun out of DOCTOR WHO and turn it into drivel. This episode is TERRIBLE.It makes no sense...is badly edited and ridiculously over plotted. WHO CARES?!! Even DOCTOR WHO himself would not watch this eyesore!!
0,Had trouble downloading photos to computer,"This was a gift for my 5 1/2 year old. I agree with all about the view screen. Horrible quality. My daughter thought the pictures looked bad and deleted them. She loved taking photos and deleting them, kind of like a video game for her. Annoying sounds too each time you scroll through the photos or delete from the camera.I tried to download the photos after properly installing the software, but got a failure when opening the DCIM folder. Call customer support they said I needed to use a SD card to download photos to the computer. This is not what is described in the packgage. Customer support was to send me a fix for Vista, mine is 32 bit not 64 bit. Never received it."
1,amazing,this toy is great. Now teachers can see what really goes on when they are writing on the board. These glasses are also great for moms with little kids like under the age of five.
0,RAT RACE DVD,"I GOT THE CORRECT MOVIE BUT IT WILL NOT PLAY IN ANY OF MY DVD PLAYERS. ALL IT SAYS IN ALL OF THEM IS ""ERROR"". I AM NOT SURE WHAT IS WRONG WITH IT BUT I CANT GET IT TO PLAY."
0,NOT What I Ordered,"Wolfgang Puck recently changed their Chicken soup. The old stuff is excellent. The new stuff is watered down, not filling and doesn't taste as good. The image and description on this item stated that it was the old soup. The soup I received is the new stuff. Being a food item, returns are not allowed. I feel this was false advertizing and am extremely displeased."
1,Good Historical Fiction,"If you are looking for real historical fiction, NOT a ""historical"" romance novel and you are interested in the early church or the Roman Empire under the Julio-Claudian dynasty then read this book. It is well-written, thoroughly researched, and very enjoyable to read. I didn't give it 5 stars as I have liked some other novels set in ancient Rome better, but all in all this is a good book."
0,Don 't Buy This Lemon!,"I've bought this TV about two years ago and after less than one year it began to have video problems. The problem was intermittent at first but now it is almost constant. The black scenes are blotchy green and other colors are over saturated to the point where the picture becomes a blob of pixels. The TV screen is so hot that watching it in my bedroom during the summertime was not an option, so it really has been lightly used (I have two other bigger TVs.) The response to the remote control is so slow that you often wonder if you hit the right button. Even if I had purchased an extended warranty, I'd still have to cart the thing more than 60 miles to an authorized Hitachi repair center although I live less than 10 miles from a nice size metropolitan area. If I had to say anything nice, I'd say that when it works, the picture is great...but it stopped working after less than 500 hours of actual use...and that's a bit more important."
1,A really great product!,"We are a small non-profit organization and we were being besieged by unwanted emails. Besides the security issues, it was taking too much of our time deleting the unwanted mail to get to the mail that we really needed to respond to. When we installed iMailKeys it was such a relief. The program was so simple to install and learn. In less than an hour I had it downloaded, installed and running. It really does the job. Their customer service people were very helpful and responded quickly when I had a question. A good price, a great product and excellent customer service - I highly recommend this product."
0,"Not For Kindle, Table of Contents does not work","Unless you want to read one page at a time from beginning to end and not go to any specific poem, this book is ok. Otherwise don't buy!!"
0,not all weather product,"I ordered this product excited to see that it was all season protection even in hot climates. I have 3 dogs that i walk 4 miles a day on pavement and pads on one of their feet were getting thin and needed something to protect them, and why not add to all 3 dogs to prevent it from happening to them. Well i had each one lie down and applied 3 coats to their pads and had them stay down for ten minutes. When i let them up I had waxy paw prints all over the ground, glad i did this outside and not in my house! Think when wax gets hot what does it do-melt of course, so they need to take the all year protection off the description. We don't get snow very often here, but if it does I will try to put it on their paws then and see if it works then. So if u buy this don't use it in warm or hot temperatures. Can't rate it on the cold weather."
0,"Barney, what happened?","My 2 year old grandson adores Barney, but this CD left him cold. He'll listen to it for a few minutes and then wants nothing to do with it. He sings his ABC songs all day and loves to count, so I thought this would be a big hit. He couldn't get enough of another Barney CD, so I'm disappointed that this one didn't work out."
0,don't bother if you have a laptop and windows,"This is my first Apple experience and what a disaster.The IPOD itself is very nice, but to use it you need a windows installation and from what I have learned so far, if you have a laptop, you're up a creek. Apple has not support/warranty to speak of so you are on your own. Blue screen of death, spontaneous reboot, probably another $50 for a firewire card that might fix things, and no idea , no FAQ, no nothing at apple to help. This is like dealing with Microsoft."
1,Very good value for the money,I built a two-story cage for my ferret with two of these cages connected by a flexible tube. Hard to beat in terms of value for the money.
1,You just HAVE to like it,"That being said,I -however unjustified my reasons may be- love this album, and would like to encourage everyone to give it a try. In order to keep this review short, I'd like to mention some things I've noticed. Jon Brion plays a pretty important part in the production. I won't lie, Sean's album would sound fairly hollow if it weren't for the beautiful composure and steady hand of Brion. Meaningless is Brion's album, and would also like to encourage people to listen to that underrated masterpiece. Lastly, the Beatles influence is very prominent on certain tracks... an example being ""Wait For Me"", which is essentially ""I'm Only Sleeping"" with different lyrics."
0,Nothing to SMiLE about here,"Like the others who have reviewed this book, I have a long time interest in Brian Wilson, and the Beach Boys. I have read a great deal about them, already. Much of what I have read is very good, especially Timothy White's book.However, like so many others, I was delighted to see SMiLE finally completed, and - no matter what I have already read - I felt that this book promised to be a 'straight-from-the-horses-mouths' chronology of the once-thought impossible chain of events that resulted in the release of this fabled album.Boy, was I ever wrong about that!How does self-important, psycho-babble art-speak like this ever actually see its way into print?Are there no book editors, anymore?If you are looking for the real, professionally written, competent, clear, insightful, and historically accurate story of SMiLE...well...like the rest of us, you'll have to look elsewhere."
1,Dissecting Harold Lloyd comedies,"Donald McCaffrey, a film professor from Iowa, has extensively studied three of Harold Lloyd's great silent films: GRANDMA'S BOY, THE FRESHMAN, and SAFETY LAST. McCaffrey walks the reader through the different portions of each film such as the exposition and climax. He shows how Lloyd develops sight gags and how the latter two films are better than GRANDMA'S BOY. This book also covers Lloyd's early and later career. An appendix of the book includes the author's conversations with Lloyd about Lloyd's career. This book is a ""must-have"" for Harold Lloyd fans and readers interested in how silent film comedy works."
0,Wish I had read the reviews,This is a piece of junk. Wish I had read the reviews. What is worse is the Netgear support. Total waste of time. At least I have been able to get through to Dlink and Linksys. Based on the poor support I will never consider another Netgear product.
1,The most important book on Earth,"For those of us, who don't only like to search but also to find, this is the most important book on Earth!"
